127.0.0.1 - - [03/Mar/2016:08:45:57 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/tabs-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/menu-row-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/search-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/search-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/tabs-a.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/button-shadow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/button-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/button-marker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/marker-1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:08:45:59 -0500] "GET /MANAGER_FITNESS/images/footer-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:09:04:16 -0500] "GET /MANAGER_FITNESS/nutrition.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:09:04:16 -0500] "GET /MANAGER_FITNESS/images/page2-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:09:04:16 -0500] "GET /MANAGER_FITNESS/images/row-bot-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:09:52 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:09:52 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:09:52 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:09:52 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:04 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/bg-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/menu-row-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/search-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/tabs-a.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/logo.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/search-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/tabs-content-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/tabs-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/button-shadow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/button-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/button-marker.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/marker-1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /MANAGER_FITNESS/images/footer-tail.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:05 -0500] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:10 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:11 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:12 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:13 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:13 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:13 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:13 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:13 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:13 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 200 91630
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 200 62372
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 200 9163
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 200 4879
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 200 64837
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 200 54305
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 200 37927
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/bg-tail.gif HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/tabs-content-tail.gif HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/menu-row-tail.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/tabs-bg.jpg HTTP/1.1" 200 20132
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/logo.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/button-shadow.png HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/button-tail.gif HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/tabs-a.png HTTP/1.1" 200 9233
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/search-bg.jpg HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/button-marker.png HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/marker-1.gif HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:49 -0500] "GET /MANAGER_FITNESS/images/footer-tail.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:10:50 -0500] "GET /MANAGER_FITNESS/images/search-icon.png HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:11:49 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:18 -0500] "GET /MANAGER_FITNESS/images/logo.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:19 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:19 -0500] "GET /MANAGER_FITNESS/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:19 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:19 -0500] "GET /MANAGER_FITNESS/css/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:19 -0500] "GET /MANAGER_FITNESS/js/jquery-1.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:19 -0500] "GET /MANAGER_FITNESS/js/tabs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/images/page1-img7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2016:10:12:20 -0500] "GET /MANAGER_FITNESS/css/reset.css HTTP/1.1" 304 -
